,0,Total Mass (Mearth)
125,20,1.166698445
126,20,3.163123485
127,20,2.149008658
128,20,0.543691197
129,20,1.468267125
130,20,0.723038315
131,20,0.984137646
132,18,6.774192636
133,17,5.631828676
134,20,0.700157233
135,20,1.252387215
136,20,1.052067211
137,20,1.211454395
138,20,0.836701061
139,18,3.157531268
140,20,0.963446669
141,20,4.301218356
142,20,0.958284144
143,19,6.931203942
144,20,3.431719513
145,20,1.36549444
146,19,1.140914267
147,20,1.296186697
148,20,1.019253204
149,18,3.074768388
150,20,8.676623381
151,13,3.477831859
152,20,1.663473427
153,20,0.632779737
154,20,3.553619957
155,20,0.568220912
156,19,6.180652982
157,20,0.974122511
158,20,1.151131026
159,18,3.293294522
160,20,2.946800779
161,20,1.675218588
162,18,8.261152834999999
163,20,0.981809705
164,15,7.8129889420000005
165,20,0.559711551
166,20,1.220716537
167,20,0.829785972
168,16,8.4104503
169,20,1.497890798
170,20,1.270433713
171,20,1.7780101640000001
172,18,3.195945528
173,20,1.115602534
174,20,1.470338401
175,16,2.732742633
176,20,3.3978892579999997
177,20,1.186942378
178,17,4.369666687
179,20,0.609276538
180,20,0.748023457
181,10,7.835565487
182,20,0.971630117
183,12,10.032549993
184,20,1.711060264
185,17,1.1424144250000001
186,20,0.895205976
187,14,7.467222884
188,20,0.390229574
189,19,5.601855005
190,20,0.421496143
191,19,2.220661735
192,20,1.363823527
193,19,10.920842801
194,20,2.649167242
195,20,0.424457074
196,20,0.571546665
197,20,0.409706142
198,20,0.9706577590000001
199,20,0.480514254
200,20,0.790409688
201,20,4.973298627
202,19,1.744291544
203,20,1.867685652
204,20,0.590991198
205,15,4.761126226
206,20,1.044040741
207,20,1.5553306409999998
208,20,1.737842892
209,20,1.268033913
210,15,3.05514985
211,20,0.9711728719999999
212,20,0.58975181
213,20,0.449099392
214,20,0.533579391
215,18,5.444261119
216,20,1.546369568
217,20,0.760882631
218,19,2.092853356
219,20,2.470264963
220,20,1.908928438
221,20,0.343887685
222,20,3.449530665
223,20,0.674188613
224,18,9.626716091
225,19,1.726565138
226,20,4.789277205
227,20,2.427268159
228,20,0.68830446
229,20,1.45483712
230,19,8.394727998
231,20,1.827829975
232,20,1.4243361719999998
233,19,3.8305489340000003
234,20,0.673045589
235,20,1.04763663
236,20,1.002510497
237,20,0.896386985
238,19,2.004002352
239,14,2.5857222749999997
240,20,0.6801257039999999
241,19,1.452065126
242,20,3.448368713
243,20,4.380861077
244,19,2.581707603
245,20,1.6412279
246,20,0.993644604
247,20,0.33890647900000004
248,20,1.32224132
249,20,2.261848643
250,18,6.998738106999999
251,15,18.251807137
252,8,10.381164334000001
253,20,5.289292165
254,20,1.0374627570000001
255,20,2.391269115
256,20,2.944036001
257,20,5.205732629
258,20,2.777355985
259,18,1.692015513
260,20,6.401566281
261,16,8.433502001999999
262,19,1.986669259
263,20,1.196750603
264,20,1.046214847
265,20,1.57987673
266,20,0.707863461
267,18,6.2670194
