,metallicity,gas disk (Msun),solid disk (Mearth),life time (yr),luminosity,star mass (solar mass)
30311,0.015270523,0.018879401,184.22741,1330688.2,0.53610268,0.5
30312,0.010664401,0.0056563428,34.21164,1129218.0,0.60659125,0.5
30313,0.024202881,0.0023288553,86.203595,817593.48,0.78116347,0.5
30314,0.0079469841,0.014732015,99.090475,1162329.7,0.59343468,0.5
30315,0.012381863,0.016062885,84.872246,1703771.4,0.44514793,0.5
30316,0.0070701903,0.0085826692,64.905446,1019756.9,0.65585211,0.5
30317,0.01010843,0.013926837,44.4428,3153799.6,0.28139484,0.5
30318,0.013116608,0.0012486365,125.91654,590758.89,1.0264819,0.5
30319,0.015260066,0.039079487,159.10116,5139779.5,0.19972406,0.5
30320,0.011087485,0.0010123534,104.6546,547603.0,1.0960384,0.5
30321,0.014972887,0.00066402131,35.115395,536691.76,1.114713,0.5
30322,0.008615091,0.030928353,164.74614,1390160.5,0.51881829,0.5
30323,0.0090723003,0.0012994036,111.58091,595837.17,1.0191101,0.5
30324,0.015441334,0.0075492578,47.782121,1791562.2,0.42931637,0.5
30325,0.023169849,0.00024883116,32.028673,392326.66,1.196884,0.5
30326,0.012510869,0.0081428207,49.824454,1465646.1,0.49834744,0.5
30327,0.045106928,0.00013104821,43.580739,339434.56,1.196884,0.5
30328,0.019192224,0.00060553493,61.333385,530049.99,1.127808,0.5
30329,0.011596367,0.0013551263,54.031119,620768.13,0.984222,0.5
30330,0.018603924,0.013833589,131.98807,1553162.6,0.47732561,0.5
30331,0.020563829,0.0075956532,137.6022,1066049.5,0.63335676,0.5
30332,0.044662875,0.00023962554,74.261423,386418.35,1.196884,0.5
30333,0.016186013,0.028677778,183.21048,2048850.1,0.38852067,0.5
30334,0.023520538,0.00044981827,29.968044,512537.66,1.163198,0.5
30335,0.031242737,0.00046524499,75.249812,507723.27,1.1724012,0.5
30336,0.012607454,0.0030250431,32.565076,919525.78,0.71089374,0.5
30337,0.012695742,0.0066776107,67.224946,1075553.8,0.62931726,0.5
30338,0.028512345,0.008335545,180.96927,1311610.4,0.54209553,0.5
30339,0.01864744,0.01292193,100.65028,1874778.0,0.41560953,0.5
30340,0.0082760095,0.0070463213,60.67531,924934.6,0.70728945,0.5
30341,0.014070573,0.00094547068,67.111346,586391.21,1.0335,0.5
30342,0.013951598,0.0016312315,100.997,650964.88,0.94603519,0.5
30343,0.022778016,0.010611655,140.34695,1105093.4,0.61633985,0.5
30344,0.015981762,0.00077181069,71.769836,533050.51,1.1222756,0.5
30345,0.020610508,0.00076900086,96.827871,548458.77,1.0946107,0.5
30346,0.0096568818,0.024027635,65.067416,6814504.6,0.16378519,0.5
30347,0.017888036,0.0093648042,97.714016,1236978.3,0.56660167,0.5
30348,0.016205743,0.0079580329,205.99458,956500.55,0.68980075,0.5
30349,0.0089730839,0.0018232744,31.893978,683779.6,0.90635736,0.5
30350,0.025097722,0.00038819584,101.82761,437566.89,1.196884,0.5
30351,0.024975271,0.0014897915,83.88152,688815.12,0.9003196,0.5
30352,0.01786378,0.0060379754,123.88195,949450.11,0.69374174,0.5
30353,0.024221928,0.00082493348,105.54447,553433.85,1.0851328,0.5
30354,0.0056947335,0.028991672,85.842291,1423546.2,0.50883813,0.5
30355,0.023177851,0.005849682,117.42229,993287.32,0.66992844,0.5
30356,0.022433837,0.010595301,93.913988,2328618.6,0.35284088,0.5
30357,0.0075258125,0.0041346321,45.227646,845940.14,0.75965342,0.5
30358,0.021456602,0.0018820401,32.814214,805029.24,0.79147998,0.5
30359,0.019573979,0.0021157049,116.54552,709901.25,0.87794701,0.5
30360,0.027195433,0.00066301984,100.53508,535442.18,1.1158471,0.5
30361,0.011226424,0.0012773731,62.371773,595583.55,1.0194728,0.5
30362,0.030376362,0.00068167127,89.277284,542750.45,1.1042134,0.5
30363,0.033345956,0.00024891165,48.150065,419565.22,1.196884,0.5
30364,0.0096184716,0.0045059342,38.909205,963973.84,0.68567914,0.5
30365,0.028269791,0.010336462,93.394007,2915848.3,0.29896189,0.5
30366,0.021056228,0.0025113036,189.00124,663119.35,0.93152654,0.5
30367,0.009090185,0.010479809,62.073504,1215786.7,0.5737049,0.5
30368,0.010501426,0.014374789,128.3396,1097182.6,0.61940227,0.5
30369,0.015741306,0.015891887,119.48143,1800474.9,0.42779647,0.5
30370,0.0049885703,0.021587589,47.569321,1493224.5,0.49163716,0.5
30371,0.015089536,0.0063580307,156.79641,839543.49,0.76443877,0.5
30372,0.015104163,0.0010655005,85.690682,583500.36,1.0382009,0.5
30373,0.01241369,0.020055047,97.927454,1682494.5,0.44956751,0.5
30374,0.018784947,0.00021542509,42.72145,399626.73,1.196884,0.5
30375,0.030976806,0.00085194887,178.48222,584670.27,1.0362932,0.5
30376,0.007886545,0.022481378,95.825674,1720821.7,0.44185716,0.5
30377,0.016435623,0.00048490676,47.300648,496324.72,1.1964229,0.5
30378,0.020389092,0.018813367,117.23503,5275873.7,0.19595494,0.5
30379,0.0083406975,0.0039672336,79.283914,763250.74,0.82602525,0.5
30380,0.0072505883,0.0079107738,79.843837,991327.92,0.67043514,0.5
30381,0.010610994,0.0087760589,47.656233,1427336.3,0.50787194,0.5
30382,0.019483659,0.0008496092,89.998906,569771.14,1.0603224,0.5
30383,0.01318011,0.016383655,71.931641,2420798.3,0.34327489,0.5
30384,0.0090310867,0.0034320435,81.103155,741647.01,0.84787504,0.5
30385,0.017408239,0.00091100239,45.915769,604275.55,1.0072176,0.5
30386,0.0074768904,0.029214578,79.336201,2227809.3,0.36500937,0.5
30387,0.027928472,0.00053044396,14.488456,595981.57,1.0189045,0.5
30388,0.016810213,0.011464106,74.015279,1922416.9,0.40802183,0.5
30389,0.017931228,0.0064366618,81.923899,1033135.7,0.64856007,0.5
30390,0.023913341,0.0019892051,119.30038,711366.66,0.8762978,0.5
30391,0.0071227283,0.010452512,35.927999,1286842.6,0.54998385,0.5
30392,0.0081493018,0.018562767,89.144258,1419471.0,0.50981857,0.5
30393,0.0095166352,0.033298304,90.635039,7566831.7,0.15176469,0.5
30394,0.025803937,0.00071467367,13.556964,666639.91,0.92700959,0.5
30395,0.018078915,0.012357802,74.856293,2521018.0,0.33270035,0.5
30396,0.012625399,0.0010806934,90.634737,582253.56,1.0387522,0.5
30397,0.018719583,0.0044805932,198.5661,808794.52,0.78835718,0.5
30398,0.012448812,0.0010634009,97.648528,558578.33,1.0780304,0.5
30399,0.0080827532,0.03688635,137.92317,1911067.6,0.40995383,0.5
30400,0.023333625,0.0039955888,53.815021,1213388.2,0.57422775,0.5
